2024-12-14T19:20:34.337Z [INFO]: Polygon WebSocket connected.
2024-12-14T19:20:34.343Z [INFO]: Started polling for order statuses.
2024-12-14T19:20:34.509Z [INFO]: Polygon WebSocket connection opened.
2024-12-14T19:20:34.510Z [INFO]: Polygon WebSocket connected.
2024-12-14T19:20:34.531Z [ERROR]: Error adding symbol WKEY to watchlist: this.restClient.getIntradayHighFromAgg is not a function
2024-12-14T19:20:34.566Z [INFO]: Polygon WebSocket authenticated.
2024-12-14T20:25:52.822Z [INFO]: Polygon WebSocket connected.
2024-12-14T20:25:52.830Z [INFO]: Started polling for order statuses.
2024-12-14T20:25:53.165Z [INFO]: Polygon WebSocket connection opened.
2024-12-14T20:25:53.168Z [INFO]: Polygon WebSocket connected.
2024-12-14T20:25:53.219Z [INFO]: Polygon WebSocket authenticated.
2024-12-14T20:25:53.446Z [INFO]: Subscribed to WKEY quote data.
2024-12-14T20:26:07.216Z [INFO]: Polygon WebSocket connected.
2024-12-14T20:26:07.222Z [INFO]: Started polling for order statuses.
2024-12-14T20:26:07.390Z [INFO]: Polygon WebSocket connection opened.
2024-12-14T20:26:07.391Z [INFO]: Polygon WebSocket connected.
2024-12-14T20:26:07.443Z [INFO]: Polygon WebSocket authenticated.
2024-12-14T20:26:07.585Z [INFO]: Subscribed to WKEY quote data.
2024-12-15T15:48:43.458Z [INFO]: Polygon WebSocket connected.
2024-12-15T15:48:43.466Z [INFO]: Started polling for order statuses.
2024-12-15T15:48:43.628Z [INFO]: Polygon WebSocket connection opened.
2024-12-15T15:48:43.630Z [INFO]: Polygon WebSocket connected.
2024-12-15T15:48:43.678Z [INFO]: Polygon WebSocket authenticated.
2024-12-15T15:48:43.789Z [INFO]: Subscribed to WKEY quote data.
2024-12-15T23:14:36.467Z [INFO]: Polygon WebSocket connected.
2024-12-15T23:14:36.477Z [INFO]: Started polling for order statuses.
2024-12-15T23:14:36.646Z [INFO]: Polygon WebSocket connection opened.
2024-12-15T23:14:36.647Z [INFO]: Polygon WebSocket connected.
2024-12-15T23:14:36.701Z [INFO]: Polygon WebSocket authenticated.
2024-12-15T23:14:36.835Z [INFO]: Subscribed to WKEY quote data.
2024-12-16T04:03:18.142Z [INFO]: Polygon WebSocket connected.
2024-12-16T04:03:18.148Z [INFO]: Started polling for order statuses.
2024-12-16T04:03:18.461Z [INFO]: Polygon WebSocket connection opened.
2024-12-16T04:03:18.462Z [INFO]: Polygon WebSocket connected.
2024-12-16T04:03:18.524Z [INFO]: Polygon WebSocket authenticated.
2024-12-16T04:03:18.775Z [INFO]: Subscribed to WKEY quote data.
2024-12-16T04:17:28.266Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:17:38.267Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:17:48.270Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:17:58.272Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:18:08.275Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:18:18.276Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:18:28.276Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:18:38.277Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:18:48.280Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:18:58.282Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:19:08.285Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:19:18.282Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:19:28.286Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:19:38.282Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:19:48.289Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:19:58.292Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:20:08.293Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:20:18.294Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:20:28.296Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:20:38.298Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:20:48.297Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:20:58.299Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:21:08.302Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:21:18.300Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:21:28.305Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:21:38.307Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:21:48.306Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:21:58.307Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:22:08.312Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:22:18.315Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:22:28.312Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:22:38.314Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:22:48.317Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:22:58.316Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:23:08.319Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:23:18.320Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:23:28.324Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:23:38.323Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:23:48.323Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:23:58.325Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:24:08.327Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:24:18.326Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:24:28.330Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:24:38.334Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:24:48.334Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:24:58.336Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:25:08.337Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:25:18.336Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:25:28.341Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:25:38.337Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:25:48.346Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:25:58.348Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:26:08.349Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:26:18.347Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:26:28.347Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:26:38.348Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:26:48.353Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:26:58.354Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:27:08.356Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:27:18.353Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:27:28.353Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:27:38.360Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:27:48.360Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:27:58.363Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:28:08.364Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:28:18.365Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:28:28.367Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:28:38.367Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:28:48.366Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:28:58.373Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:29:08.375Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:29:18.372Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:29:28.380Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:29:38.382Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:29:48.385Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:29:58.383Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:30:08.387Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:30:18.389Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:30:28.390Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:30:38.391Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:30:48.388Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:30:58.394Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:31:08.399Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:31:18.400Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:31:28.401Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:31:38.400Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:31:48.404Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:31:58.406Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:32:08.405Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:32:18.405Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:32:28.410Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:32:38.412Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:32:48.408Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:32:58.415Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:33:08.411Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:33:18.420Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:33:28.422Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:33:38.417Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:33:48.421Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:33:58.421Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:34:08.428Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:34:18.427Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:34:28.431Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:34:38.432Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:34:48.435Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:34:58.435Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:35:08.437Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:35:18.439Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:35:28.440Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:35:38.436Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:35:48.439Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:35:58.442Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:36:08.437Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:36:18.434Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:36:28.432Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:36:38.431Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:36:48.433Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:36:58.435Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:37:08.436Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:37:18.437Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:37:28.438Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:37:38.440Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:37:48.441Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:37:58.439Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:38:08.441Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:38:18.441Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:38:28.442Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:38:38.444Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:38:48.442Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:38:58.444Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:39:08.444Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:39:18.445Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:39:28.446Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:39:38.446Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:39:48.446Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:39:58.449Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:40:08.449Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:40:18.452Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:40:28.452Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:40:38.457Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:40:48.456Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:40:58.455Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:41:08.460Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:41:18.459Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:41:28.462Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:41:38.461Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:41:48.459Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:41:58.468Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:42:08.466Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:42:18.463Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:42:28.470Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:42:38.475Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:42:48.475Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:42:58.476Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:43:08.476Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:43:18.477Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:43:28.479Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:43:38.480Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:43:48.479Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:43:58.482Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:44:08.486Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:44:18.489Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:44:28.492Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:44:38.496Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:44:48.494Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:44:58.495Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:45:08.492Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:45:18.491Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:45:28.496Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:45:38.500Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:45:48.497Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:45:58.501Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:46:08.506Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:46:18.502Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:46:28.509Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:46:38.512Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:46:48.510Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:46:58.512Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:47:08.512Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:47:18.515Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:47:28.515Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:47:38.518Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:47:48.517Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:47:58.516Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:48:08.519Z [INFO]: Dynamic config reloaded. Updated override symbols.
2024-12-16T04:48:18.520Z [INFO]: Dynamic config reloaded. Updated override symbols.
